"ID_usuario","genero_usuario","edad_usuario","fecha_alta","hora_alta","Customer.Has.Dni..Yes...No."
"822808","MALE","27",2021-12-31,"17:14:42","Yes"
"822840","MALE","19",2021-12-31,"22:32:38","Yes"
"822766","MALE","35",2021-12-31,"13:37:29","Yes"
"822703","MALE","35",2021-12-31,"01:12:22","Yes"
"822678","MALE","21",2021-12-30,"21:31:12","Yes"
"822493","FEMALE","48",2021-12-30,"00:01:46","Yes"
"822575","FEMALE","27",2021-12-30,"14:53:28","No"
"822566","FEMALE","47",2021-12-30,"14:00:49","Yes"
"822510","MALE","21",2021-12-30,"08:42:06","Yes"
"822536","MALE","49",2021-12-30,"10:49:09","Yes"
"822654","FEMALE","22",2021-12-30,"20:00:02","Yes"
"822570","OTHER","24",2021-12-30,"14:32:00","No"
"822653","FEMALE","52",2021-12-30,"20:00:02","Yes"
"822622","OTHER","25",2021-12-30,"17:47:13","Yes"
"822535","OTHER","39",2021-12-30,"10:46:41","No"
"822511","MALE","46",2021-12-30,"08:50:03","Yes"
"822579","FEMALE","21",2021-12-30,"14:59:25","Yes"
"822581","OTHER","29",2021-12-30,"15:05:34","No"
"822583","MALE","36",2021-12-30,"15:17:17","Yes"
"822693","FEMALE","32",2021-12-30,"23:30:53","Yes"
"822558","FEMALE","32",2021-12-30,"12:28:27","Yes"
"822601","MALE","21",2021-12-30,"16:32:43","Yes"
"822635","MALE","41",2021-12-30,"18:49:13","Yes"
"822600","FEMALE","24",2021-12-30,"16:32:20","Yes"
"822509","MALE","32",2021-12-30,"08:28:56","Yes"
"822674","MALE","32",2021-12-30,"21:03:47","Yes"
"822500","FEMALE","25",2021-12-30,"00:33:23","Yes"
"822590","OTHER","36",2021-12-30,"15:51:48","No"
"822629","MALE","25",2021-12-30,"18:34:11","Yes"
"822628","OTHER","29",2021-12-30,"18:22:31","No"
"822494","MALE","20",2021-12-30,"00:01:59","Yes"
"822593","OTHER","30",2021-12-30,"16:02:57","No"
"822501","FEMALE","42",2021-12-30,"00:57:50","Yes"
"822537","FEMALE","30",2021-12-30,"10:50:40","Yes"
"822574","MALE","21",2021-12-30,"14:52:18","Yes"
"822607","FEMALE","27",2021-12-30,"16:51:03","Yes"
"822599","FEMALE","23",2021-12-30,"16:29:31","Yes"
"822495","FEMALE","23",2021-12-30,"00:08:12","Yes"
"822546","MALE","23",2021-12-30,"11:32:05","Yes"
"822662","OTHER","32",2021-12-30,"20:20:19","No"
"822525","OTHER","34",2021-12-30,"10:06:23","No"
"822568","MALE","21",2021-12-30,"14:30:18","Yes"
"822660","FEMALE","26",2021-12-30,"20:17:24","Yes"
"822502","MALE","32",2021-12-30,"01:41:19","Yes"
"822522","OTHER","33",2021-12-30,"09:55:47","No"
"822526","OTHER","26",2021-12-30,"10:07:58","Yes"
"822519","MALE","23",2021-12-30,"09:47:57","Yes"
"822626","MALE","39",2021-12-30,"18:14:52","Yes"
"822618","MALE","54",2021-12-30,"17:38:11","Yes"
"822637","FEMALE","66",2021-12-30,"18:55:06","Yes"
"822520","FEMALE","49",2021-12-30,"09:48:19","No"
"822549","MALE","19",2021-12-30,"11:42:38","Yes"
"822638","MALE","39",2021-12-30,"19:04:00","Yes"
"822496","MALE","21",2021-12-30,"00:14:27","Yes"
"822684","FEMALE","23",2021-12-30,"22:13:08","Yes"
"822627","FEMALE","62",2021-12-30,"18:18:05","Yes"
"822507","FEMALE","47",2021-12-30,"07:30:23","Yes"
"822532","OTHER","24",2021-12-30,"10:26:47","No"
"822595","MALE","22",2021-12-30,"16:10:41","Yes"
"822695","FEMALE","23",2021-12-30,"23:55:16","Yes"
"822523","MALE","40",2021-12-30,"09:59:18","Yes"
"822586","FEMALE","27",2021-12-30,"15:36:34","Yes"
"822513","FEMALE","45",2021-12-30,"09:06:58","Yes"
"822596","FEMALE","52",2021-12-30,"16:21:34","Yes"
"822687","MALE","23",2021-12-30,"22:28:22","Yes"
"822630","OTHER","41",2021-12-30,"18:34:12","No"
"822614","MALE","35",2021-12-30,"17:23:56","Yes"
"822530","FEMALE","27",2021-12-30,"10:21:02","Yes"
"822564","OTHER","24",2021-12-30,"13:46:18","No"
"822554","FEMALE","29",2021-12-30,"12:07:19","Yes"
"822580","MALE","26",2021-12-30,"15:01:52","Yes"
"822527","FEMALE","45",2021-12-30,"10:16:13","Yes"
"822506","FEMALE","20",2021-12-30,"04:04:24","Yes"
"822652","FEMALE","25",2021-12-30,"19:57:33","Yes"
"822604","OTHER","39",2021-12-30,"16:44:58","No"
"822561","OTHER","27",2021-12-30,"13:07:53","No"
"822572","FEMALE","25",2021-12-30,"14:41:56","Yes"
"822617","FEMALE","26",2021-12-30,"17:34:31","Yes"
"822518","MALE","53",2021-12-30,"09:45:50","Yes"
"822690","MALE","23",2021-12-30,"22:48:16","Yes"
"822524","FEMALE","26",2021-12-30,"10:02:06","Yes"
"822650","FEMALE","33",2021-12-30,"19:50:33","Yes"
"822521","FEMALE","33",2021-12-30,"09:51:14","Yes"
"822552","FEMALE","34",2021-12-30,"11:51:26","Yes"
"822680","FEMALE","43",2021-12-30,"21:42:08","Yes"
"822659","OTHER","27",2021-12-30,"20:13:52","No"
"822563","MALE","34",2021-12-30,"13:30:53","Yes"
"822644","MALE","29",2021-12-30,"19:26:45","Yes"
"822661","FEMALE","31",2021-12-30,"20:19:57","Yes"
"822646","MALE","27",2021-12-30,"19:36:05","Yes"
"822556","FEMALE","27",2021-12-30,"12:22:22","Yes"
"822681","FEMALE","49",2021-12-30,"21:49:30","Yes"
"822602","MALE","27",2021-12-30,"16:40:30","Yes"
"822531","OTHER","24",2021-12-30,"10:21:36","No"
"822499","MALE","27",2021-12-30,"00:25:06","Yes"
"822682","FEMALE","23",2021-12-30,"21:52:57","Yes"
"822639","MALE","24",2021-12-30,"19:09:31","Yes"
"822669","OTHER","24",2021-12-30,"20:51:13","No"
"822625","MALE","39",2021-12-30,"17:57:34","Yes"
"822577","OTHER","38",2021-12-30,"14:58:10","No"
"822664","FEMALE","38",2021-12-30,"20:25:27","Yes"
"822605","MALE","31",2021-12-30,"16:48:20","Yes"
"822587","MALE","22",2021-12-30,"15:38:15","Yes"
"822533","OTHER","30",2021-12-30,"10:44:32","No"
"822663","FEMALE","29",2021-12-30,"20:21:45","Yes"
"822588","MALE","37",2021-12-30,"15:39:55","Yes"
"822667","FEMALE","41",2021-12-30,"20:33:38","Yes"
"822611","MALE","38",2021-12-30,"17:05:22","Yes"
"822689","FEMALE","30",2021-12-30,"22:47:43","Yes"
"822553","MALE","39",2021-12-30,"11:57:28","Yes"
"822649","FEMALE","30",2021-12-30,"19:48:11","Yes"
"822642","FEMALE","34",2021-12-30,"19:20:11","Yes"
"822548","OTHER","37",2021-12-30,"11:39:14","No"
"822503","MALE","19",2021-12-30,"01:46:23","Yes"
"822571","MALE","56",2021-12-30,"14:40:40","Yes"
"822688","MALE","19",2021-12-30,"22:44:21","Yes"
"822551","MALE","22",2021-12-30,"11:47:15","Yes"
"822634","MALE","53",2021-12-30,"18:38:30","Yes"
"822612","FEMALE","42",2021-12-30,"17:09:11","Yes"
"822672","MALE","23",2021-12-30,"21:00:18","Yes"
"822578","OTHER","30",2021-12-30,"14:58:40","No"
"822594","FEMALE","65",2021-12-30,"16:07:01","Yes"
"822679","MALE","23",2021-12-30,"21:35:38","Yes"
"822543","FEMALE","36",2021-12-30,"11:21:42","Yes"
"822550","FEMALE","28",2021-12-30,"11:43:02","Yes"
"822641","FEMALE","52",2021-12-30,"19:17:52","Yes"
"822692","MALE","30",2021-12-30,"23:11:09","Yes"
"822505","MALE","26",2021-12-30,"02:44:13","Yes"
"822512","OTHER","30",2021-12-30,"08:59:44","No"
"822609","MALE","23",2021-12-30,"16:51:53","Yes"
"822517","MALE","26",2021-12-30,"09:35:51","Yes"
"822631","FEMALE","31",2021-12-30,"18:36:47","No"
"822685","FEMALE","25",2021-12-30,"22:21:10","Yes"
"822539","MALE","25",2021-12-30,"11:03:27","Yes"
"822686","FEMALE","20",2021-12-30,"22:25:53","Yes"
"822567","MALE","27",2021-12-30,"14:20:11","Yes"
"822673","MALE","45",2021-12-30,"21:02:43","No"
"822620","FEMALE","33",2021-12-30,"17:43:14","Yes"
"822621","FEMALE","39",2021-12-30,"17:43:47","Yes"
"822665","MALE","23",2021-12-30,"20:28:56","Yes"
"822657","FEMALE","22",2021-12-30,"20:09:36","Yes"
"822656","MALE","31",2021-12-30,"20:09:20","Yes"
"822636","MALE","39",2021-12-30,"18:54:29","Yes"
"822643","MALE","21",2021-12-30,"19:23:24","Yes"
"822591","MALE","21",2021-12-30,"15:54:40","Yes"
"822559","MALE","27",2021-12-30,"12:33:45","Yes"
"822676","FEMALE","28",2021-12-30,"21:21:20","Yes"
"822529","FEMALE","36",2021-12-30,"10:19:53","Yes"
"822585","FEMALE","44",2021-12-30,"15:34:50","Yes"
"822582","OTHER","29",2021-12-30,"15:08:53","No"
"822647","FEMALE","21",2021-12-30,"19:40:31","Yes"
"822544","MALE","53",2021-12-30,"11:24:35","Yes"
"822608","FEMALE","24",2021-12-30,"16:51:21","Yes"
"822545","MALE","38",2021-12-30,"11:29:22","Yes"
"822675","MALE","38",2021-12-30,"21:08:13","Yes"
"822615","FEMALE","32",2021-12-30,"17:26:33","Yes"
"822497","FEMALE","22",2021-12-30,"00:21:56","Yes"
"822508","FEMALE","34",2021-12-30,"08:25:34","Yes"
"822592","FEMALE","19",2021-12-30,"15:58:15","Yes"
"822504","MALE","22",2021-12-30,"02:08:47","Yes"
"822623","FEMALE","21",2021-12-30,"17:49:12","Yes"
"822655","FEMALE","41",2021-12-30,"20:00:51","Yes"
"822597","MALE","24",2021-12-30,"16:25:41","Yes"
"822691","FEMALE","27",2021-12-30,"22:56:19","Yes"
"822645","OTHER","71",2021-12-30,"19:32:06","No"
"822541","FEMALE","24",2021-12-30,"11:12:53","Yes"
"822547","FEMALE","26",2021-12-30,"11:38:50","Yes"
"822565","MALE","70",2021-12-30,"13:56:47","Yes"
"822666","MALE","40",2021-12-30,"20:29:10","Yes"
"822569","OTHER","37",2021-12-30,"14:30:19","No"
"822515","MALE","52",2021-12-30,"09:21:50","Yes"
"822598","FEMALE","20",2021-12-30,"16:28:46","Yes"
"822560","MALE","59",2021-12-30,"13:00:33","Yes"
"822616","MALE","58",2021-12-30,"17:33:50","Yes"
"822538","MALE","43",2021-12-30,"10:57:09","Yes"
"822610","MALE","27",2021-12-30,"17:04:46","Yes"
"822562","OTHER","33",2021-12-30,"13:28:07","No"
"822516","FEMALE","35",2021-12-30,"09:31:05","Yes"
"822573","MALE","34",2021-12-30,"14:42:17","Yes"
"822648","MALE","34",2021-12-30,"19:41:50","Yes"
"822619","MALE","34",2021-12-30,"17:38:40","Yes"
"822670","FEMALE","27",2021-12-30,"20:58:36","Yes"
"822555","OTHER","27",2021-12-30,"12:12:54","No"
"822603","MALE","31",2021-12-30,"16:41:40","Yes"
"822557","MALE","23",2021-12-30,"12:27:16","Yes"
"822651","MALE","46",2021-12-30,"19:52:23","Yes"
"822576","OTHER","34",2021-12-30,"14:55:01","No"
"822632","FEMALE","51",2021-12-30,"18:37:03","Yes"
"822498","FEMALE","25",2021-12-30,"00:24:44","Yes"
"822671","MALE","21",2021-12-30,"20:59:16","Yes"
"822658","MALE","30",2021-12-30,"20:11:19","Yes"
"822668","FEMALE","45",2021-12-30,"20:42:06","Yes"
"822534","MALE","39",2021-12-30,"10:45:12","Yes"
"822694","MALE","29",2021-12-30,"23:31:13","Yes"
"822589","OTHER","32",2021-12-30,"15:51:10","No"
"822528","OTHER","24",2021-12-30,"10:19:07","No"
"822640","FEMALE","25",2021-12-30,"19:13:10","Yes"
"822584","MALE","24",2021-12-30,"15:24:01","Yes"
"822542","OTHER","49",2021-12-30,"11:19:53","No"
"822633","FEMALE","38",2021-12-30,"18:37:29","Yes"
"822613","MALE","23",2021-12-30,"17:14:06","Yes"
"822683","MALE","22",2021-12-30,"22:03:37","Yes"
"822514","OTHER","56",2021-12-30,"09:12:18","Yes"
"822606","MALE","30",2021-12-30,"16:50:30","Yes"
"822677","MALE","28",2021-12-30,"21:23:55","Yes"
"822540","OTHER","26",2021-12-30,"11:11:36","Yes"
"822624","FEMALE","29",2021-12-30,"17:49:27","Yes"
"822424","OTHER","26",2021-12-29,"19:02:10","No"
"822332","FEMALE","21",2021-12-29,"11:10:48","Yes"
"822338","MALE","27",2021-12-29,"11:30:50","Yes"
"822489","MALE","23",2021-12-29,"23:48:15","Yes"
"822350","FEMALE","29",2021-12-29,"12:26:22","Yes"
"822443","OTHER","29",2021-12-29,"20:39:12","Yes"
"822307","FEMALE","28",2021-12-29,"09:10:14","Yes"
"822344","FEMALE","20",2021-12-29,"12:05:14","Yes"
"822492","MALE","26",2021-12-29,"23:53:38","Yes"
"822410","FEMALE","22",2021-12-29,"18:17:59","Yes"
"822453","FEMALE","24",2021-12-29,"21:07:13","Yes"
"822368","MALE","24",2021-12-29,"14:41:51","Yes"
"822296","MALE","20",2021-12-29,"02:42:34","Yes"
"822415","MALE","23",2021-12-29,"18:34:23","Yes"
"822480","OTHER","36",2021-12-29,"23:15:40","No"
"822381","FEMALE","52",2021-12-29,"16:08:22","Yes"
"822360","OTHER","53",2021-12-29,"13:59:14","Yes"
"822359","OTHER","37",2021-12-29,"13:40:04","No"
"822375","MALE","24",2021-12-29,"15:37:47","Yes"
"822469","MALE","27",2021-12-29,"22:23:13","Yes"
"822406","MALE","40",2021-12-29,"18:03:16","Yes"
"822445","FEMALE","58",2021-12-29,"20:49:42","Yes"
"822442","MALE","57",2021-12-29,"20:32:35","Yes"
"822465","MALE","29",2021-12-29,"22:01:20","Yes"
"822289","MALE","57",2021-12-29,"00:30:57","Yes"
"822297","MALE","57",2021-12-29,"06:37:57","Yes"
"822353","FEMALE","32",2021-12-29,"12:30:55","Yes"
"822309","FEMALE","38",2021-12-29,"09:20:01","Yes"
"822389","MALE","33",2021-12-29,"16:56:02","No"
"822295","MALE","29",2021-12-29,"02:00:46","Yes"
"822308","OTHER","35",2021-12-29,"09:12:21","No"
"822298","FEMALE","46",2021-12-29,"07:40:14","Yes"
"822420","MALE","43",2021-12-29,"18:50:57","Yes"
"822315","OTHER","28",2021-12-29,"10:09:33","No"
"822302","FEMALE","31",2021-12-29,"08:28:01","Yes"
"822365","OTHER","36",2021-12-29,"14:34:39","No"
"822354","FEMALE","27",2021-12-29,"12:39:47","Yes"
"822459","FEMALE","26",2021-12-29,"21:35:08","Yes"
"822378","OTHER","20",2021-12-29,"15:53:24","No"
"822305","FEMALE","45",2021-12-29,"08:49:11","Yes"
"822458","FEMALE","43",2021-12-29,"21:31:54","Yes"
"822441","MALE","37",2021-12-29,"20:31:09","Yes"
"822417","MALE","19",2021-12-29,"18:40:27","Yes"
"822342","FEMALE","39",2021-12-29,"11:51:08","Yes"
"822461","FEMALE","23",2021-12-29,"21:44:07","Yes"
"822438","MALE","50",2021-12-29,"20:17:00","Yes"
"822329","MALE","48",2021-12-29,"11:00:48","Yes"
"822476","MALE","22",2021-12-29,"22:49:27","Yes"
"822440","FEMALE","32",2021-12-29,"20:31:01","Yes"
"822387","FEMALE","21",2021-12-29,"16:51:16","Yes"
"822462","MALE","23",2021-12-29,"21:46:25","Yes"
"822384","FEMALE","20",2021-12-29,"16:41:27","Yes"
"822457","OTHER","31",2021-12-29,"21:30:48","No"
"822339","MALE","38",2021-12-29,"11:32:30","Yes"
"822346","MALE","34",2021-12-29,"12:19:45","Yes"
"822326","MALE","20",2021-12-29,"10:42:46","Yes"
"822286","FEMALE","28",2021-12-29,"00:04:25","Yes"
"822370","OTHER","26",2021-12-29,"14:44:06","Yes"
"822467","MALE","34",2021-12-29,"22:07:52","Yes"
"822376","FEMALE","21",2021-12-29,"15:45:11","Yes"
"822395","FEMALE","42",2021-12-29,"17:18:10","Yes"
"822412","MALE","33",2021-12-29,"18:25:29","Yes"
"822464","FEMALE","29",2021-12-29,"21:55:35","Yes"
"822340","MALE","26",2021-12-29,"11:40:36","Yes"
"822366","OTHER","35",2021-12-29,"14:40:15","No"
"822475","FEMALE","19",2021-12-29,"22:44:00","Yes"
"822433","MALE","23",2021-12-29,"19:56:55","Yes"
"822393","MALE","29",2021-12-29,"17:15:46","Yes"
"822319","MALE","22",2021-12-29,"10:27:25","Yes"
"822434","MALE","39",2021-12-29,"19:59:37","Yes"
"822287","MALE","21",2021-12-29,"00:16:41","Yes"
"822291","FEMALE","74",2021-12-29,"01:08:22","Yes"
"822331","FEMALE","29",2021-12-29,"11:07:42","No"
"822386","FEMALE","38",2021-12-29,"16:49:45","Yes"
"822485","MALE","50",2021-12-29,"23:33:19","Yes"
"822292","FEMALE","27",2021-12-29,"01:17:05","Yes"
"822345","MALE","51",2021-12-29,"12:17:39","Yes"
"822436","FEMALE","48",2021-12-29,"20:04:33","Yes"
"822327","MALE","44",2021-12-29,"10:57:13","Yes"
"822333","OTHER","27",2021-12-29,"11:10:48","No"
"822321","OTHER","33",2021-12-29,"10:37:01","No"
"822347","MALE","44",2021-12-29,"12:19:50","Yes"
"822290","FEMALE","49",2021-12-29,"01:06:54","Yes"
"822460","MALE","23",2021-12-29,"21:43:43","Yes"
"822487","MALE","26",2021-12-29,"23:36:55","Yes"
"822400","MALE","30",2021-12-29,"17:35:29","Yes"
"822390","MALE","43",2021-12-29,"16:56:13","Yes"
"822454","MALE","33",2021-12-29,"21:23:19","Yes"
"822414","MALE","30",2021-12-29,"18:33:34","Yes"
"822323","FEMALE","30",2021-12-29,"10:37:41","Yes"
"822471","FEMALE","40",2021-12-29,"22:25:24","Yes"
"822419","FEMALE","31",2021-12-29,"18:47:14","Yes"
"822405","FEMALE","29",2021-12-29,"18:01:36","No"
"822313","MALE","20",2021-12-29,"09:47:40","Yes"
"822448","MALE","35",2021-12-29,"20:54:05","Yes"
"822456","FEMALE","27",2021-12-29,"21:30:27","Yes"
"822455","MALE","31",2021-12-29,"21:27:07","Yes"
"822371","FEMALE","28",2021-12-29,"14:51:34","Yes"
"822452","MALE","59",2021-12-29,"21:06:18","Yes"
"822328","OTHER","28",2021-12-29,"10:57:41","No"
"822423","MALE","40",2021-12-29,"19:01:04","Yes"
"822444","MALE","21",2021-12-29,"20:45:22","Yes"
"822316","MALE","38",2021-12-29,"10:21:52","Yes"
"822355","FEMALE","37",2021-12-29,"13:06:01","Yes"
"822473","FEMALE","27",2021-12-29,"22:32:36","Yes"
"822361","MALE","82",2021-12-29,"13:59:39","Yes"
"822483","MALE","19",2021-12-29,"23:31:22","Yes"
"822396","FEMALE","28",2021-12-29,"17:20:16","Yes"
"822484","MALE","31",2021-12-29,"23:32:00","Yes"
"822334","FEMALE","21",2021-12-29,"11:15:07","Yes"
"822317","MALE","33",2021-12-29,"10:23:10","Yes"
"822468","MALE","20",2021-12-29,"22:13:21","Yes"
"822293","FEMALE","20",2021-12-29,"01:29:55","Yes"
"822413","MALE","21",2021-12-29,"18:31:41","Yes"
"822481","FEMALE","26",2021-12-29,"23:16:19","Yes"
"822357","MALE","41",2021-12-29,"13:15:02","Yes"
"822310","FEMALE","24",2021-12-29,"09:28:29","Yes"
"822407","MALE","53",2021-12-29,"18:10:39","Yes"
